Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
New businesses registered (number),IC.BUS.NREG,Tunisia,TUN,..,..,12556,12691,11973,11661,12450,11647,13134,15715,..,..
New businesses registered (number),IC.BUS.NREG,Turkiye,TUR,..,..,..,..,53375,65324,62674,71468,83397,82762,100409,..
New businesses registered (number),IC.BUS.NREG,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Uganda,UGA,..,..,16686,15409,16757,18387,18050,17423,18862,..,..,..
New businesses registered (number),IC.BUS.NREG,Ukraine,UKR,..,..,29619,35203,33406,38088,48138,51349,..,..,..,..
New businesses registered (number),IC.BUS.NREG,United Arab Emirates,ARE,..,..,11380,12784,15661,16625,16735,16285,17907,22593,19050,..
New businesses registered (number),IC.BUS.NREG,United Kingdom,GBR,..,..,492754,522439,585672,611478,663616,632517,664974,684874,774854,..
New businesses registered (number),IC.BUS.NREG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Uruguay,URY,..,..,7888,6106,6282,4592,3935,4069,3369,3364,5139,..
New businesses registered (number),IC.BUS.NREG,Uzbekistan,UZB,..,..,13261,17346,17469,18955,21893,26186,35801,60814,61677,..
New businesses registered (number),IC.BUS.NREG,Vanuatu,VUT,..,..,70,54,88,83,130,168,258,..,..,..
New businesses registered (number),IC.BUS.NREG,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Vietnam,VNM,..,..,51382,56370,56928,73817,87346,102447,106931,111338,111477,..
New businesses registered (number),IC.BUS.NREG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Zambia,ZMB,..,..,8849,9403,9402,9137,8874,9399,10239,9606,10640,..
New businesses registered (number),IC.BUS.NREG,Zimbabwe,ZWE,..,..,9491,9782,9465,9055,8124,9518,16810,25028,20273,..
New businesses registered (number),IC.BUS.NREG,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
