,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
"Iran, Islamic Rep.",IRN,-1.42,0.31,4,7.07,1.63,19.02,-1.62,0.33,4,5.98,0.54,14.67,-1.64,0.31,4,5.98,1.09,14.67,-1.32,0.23,5,8.11,3.24,18.92,-1.23,0.2,5,10.81,3.24,18.92,-1.27,0.2,6,8.96,3.98,17.91,-1.17,0.17,6,11.76,6.37,20.59,-1.42,0.2,7,6.86,2.45,14.71,-1.6,0.21,7,3.88,2.43,9.22,-1.61,0.21,7,2.91,2.43,7.77,-1.71,0.21,6,2.87,1.91,6.22,-1.71,0.2,7,2.87,1.91,6.22,-1.52,0.19,8,4.74,2.37,9.48,-1.43,0.21,8,7.11,2.37,12.8,-1.49,0.21,8,6.16,1.9,11.85,-1.46,0.22,8,5.29,2.4,11.54,-1.31,0.2,9,6.73,3.37,15.38,-1.23,0.21,9,9.13,4.33,17.79,-1.2,0.2,9,10.58,4.81,17.31,-1.38,0.2,9,7.69,3.37,12.02,-1.43,0.2,9,6.73,3.37,11.06,-1.47,0.21,8,7.21,3.85,10.58,-1.62,0.22,7,4.81,2.4,8.65
Iraq,IRQ,-2.15,0.31,4,1.09,0,4.89,-2.2,0.33,4,0,0,4.89,-2.17,0.31,4,0.54,0,4.89,-2,0.24,4,1.08,0,4.86,-1.45,0.2,4,5.95,1.62,14.59,-1.65,0.21,4,3.48,1,7.46,-1.54,0.18,4,4.9,1.47,9.8,-1.4,0.22,4,7.35,2.45,15.2,-1.32,0.24,4,7.77,2.43,18.45,-1.15,0.24,4,12.62,3.4,22.82,-1.01,0.22,5,16.75,6.22,27.27,-1.03,0.22,5,16.75,6.22,26.79,-1.01,0.22,5,17.06,7.11,28.44,-1.14,0.23,6,12.32,4.74,24.64,-1.13,0.23,6,13.27,5.21,24.64,-1.13,0.24,6,10.58,4.33,25.96,-1.13,0.24,6,12.5,4.33,25.96,-0.98,0.24,6,14.42,6.25,28.85,-1.09,0.23,6,11.54,5.29,26.44,-1.05,0.23,6,12.5,6.25,26.92,-1.08,0.23,6,11.54,6.25,25.48,-1.32,0.25,5,9.13,3.85,15.87,-1.11,0.26,4,12.5,4.81,26.92
Iceland,ISL,1.25,0.3,5,86.41,72.28,96.74,1.3,0.3,5,90.22,73.37,97.28,1.55,0.25,5,93.48,84.78,98.91,1.51,0.25,5,91.35,82.7,100,1.63,0.21,5,94.59,86.49,100,1.61,0.24,5,94.03,86.57,100,1.6,0.18,5,94.61,87.75,100,1.53,0.22,6,93.14,84.31,99.51,1.51,0.23,6,92.72,84.47,99.03,1.31,0.24,6,87.86,78.16,96.12,1.01,0.25,5,79.9,69.38,91.39,0.92,0.25,6,78.47,66.51,86.6,1.05,0.25,6,80.57,72.51,91.94,1.11,0.24,7,82.46,73.46,91,1.13,0.24,7,83.89,72.99,91.94,1.21,0.25,7,87.02,76.44,91.83,1.27,0.24,7,86.54,77.4,92.79,1.27,0.25,7,86.54,76.44,92.31,1.43,0.24,7,90.38,81.25,96.63,1.41,0.24,7,90.38,81.25,97.12,1.37,0.24,7,89.9,77.88,96.15,1.45,0.26,6,91.35,81.73,99.04,1.53,0.26,6,91.83,83.65,99.52
Israel,ISR,1.08,0.28,6,83.15,69.57,93.48,1.05,0.27,6,84.24,70.11,94.02,1.08,0.23,6,82.61,71.2,92.39,0.92,0.23,6,76.22,67.57,87.03,0.91,0.2,6,74.05,65.95,86.49,0.82,0.21,6,76.12,65.67,83.08,0.86,0.17,6,73.04,66.18,83.33,1,0.21,7,79.41,70.1,88.73,1.1,0.22,7,83.98,72.33,91.26,1.17,0.23,7,84.95,74.27,93.2,1.1,0.22,7,82.78,73.21,92.82,1.21,0.24,7,84.69,75.6,93.78,1.31,0.23,7,87.2,77.73,95.73,1.17,0.24,7,85.78,74.41,94.31,1.16,0.24,7,85.78,73.93,92.42,1.21,0.25,7,86.54,76.44,91.83,1.27,0.24,7,86.06,77.4,92.79,1.31,0.25,7,87.5,79.33,93.75,1.27,0.24,7,87.02,78.85,93.27,1.24,0.24,7,86.06,77.4,93.75,1.28,0.24,7,87.02,75.96,94.71,1.24,0.26,6,87.02,75,94.71,1.21,0.26,6,85.1,73.56,94.23
Italy,ITA,0.86,0.28,6,76.09,64.67,88.59,0.71,0.27,6,72.28,61.41,85.87,0.79,0.23,6,76.63,65.22,85.87,0.9,0.23,6,75.68,67.57,87.03,1.04,0.2,6,80,71.89,88.65,1.08,0.21,6,81.09,72.14,89.05,1,0.17,6,78.43,70.1,87.75,0.98,0.21,7,78.92,70.1,88.24,0.94,0.22,7,78.16,67.48,86.89,0.97,0.23,7,79.13,66.99,87.86,0.97,0.22,7,78.47,69.38,87.56,0.89,0.24,7,77.51,66.99,85.17,0.71,0.22,8,74.88,62.09,81.04,0.74,0.23,8,74.41,63.51,82.46,0.78,0.22,8,74.88,64.93,84.36,0.64,0.23,8,71.15,61.54,80.77,0.72,0.22,8,74.04,64.9,80.77,0.71,0.23,8,74.04,65.38,83.17,0.7,0.22,8,75,66.35,81.73,0.72,0.22,8,75.48,64.9,82.21,0.95,0.22,8,76.92,72.12,87.98,0.5,0.23,7,69.23,57.21,76.44,0.55,0.23,7,69.71,57.69,77.88
Jamaica,JAM,0.2,0.31,4,62.5,41.3,71.74,0.22,0.33,4,60.87,35.87,72.83,0.2,0.26,5,59.78,41.3,69.57,0.24,0.22,6,61.08,50.27,68.65,0.21,0.19,6,61.08,52.97,65.95,0.15,0.2,7,58.71,48.26,65.67,0.17,0.17,7,58.33,51.47,62.75,0.22,0.2,7,57.35,50.98,66.67,0.27,0.21,7,59.71,51.94,68.93,0.25,0.21,7,58.74,51.94,66.99,0.22,0.2,7,58.37,50.72,68.42,0.23,0.2,7,58.85,50.72,67.94,0.25,0.19,8,58.77,51.66,69.19,0.18,0.2,9,57.35,46.45,67.77,0.18,0.2,9,57.82,46.92,67.3,0.07,0.21,9,53.85,44.23,65.38,0.03,0.2,9,53.37,44.71,64.9,0.11,0.21,9,58.17,44.23,66.83,0.08,0.21,8,57.21,41.83,67.31,0.14,0.21,8,61.54,45.67,68.27,0.1,0.2,8,60.1,43.27,66.35,0.06,0.22,6,54.81,39.9,64.9,0.2,0.22,6,60.1,46.15,71.63
Jordan,JOR,0.02,0.29,5,55.43,30.43,65.76,0.34,0.3,5,64.13,47.28,73.91,0.27,0.26,5,63.04,47.28,72.83,0.02,0.22,6,55.68,41.08,63.24,0.19,0.18,7,59.46,52.97,65.95,0.29,0.19,8,63.18,53.23,68.66,0.08,0.16,8,55.39,49.02,60.29,0.33,0.19,9,60.78,54.41,70.1,0.32,0.2,9,61.17,52.43,70.39,0.34,0.19,9,62.14,53.4,69.9,0.28,0.19,9,61.24,52.15,69.38,0.23,0.19,9,57.89,51.67,66.99,0.31,0.19,9,61.14,53.55,70.62,0.23,0.18,11,58.29,51.66,67.77,0.17,0.18,11,57.35,47.39,66.35,0.1,0.18,11,55.29,48.08,65.38,0.11,0.18,11,56.73,46.63,66.35,0.08,0.18,11,57.69,44.23,66.35,0.09,0.19,10,58.17,44.23,66.83,0.04,0.19,10,57.69,42.31,64.42,0.05,0.19,10,58.17,43.27,64.9,0.27,0.2,9,61.54,49.04,72.12,0.15,0.21,8,57.69,45.67,68.27
Japan,JPN,0.77,0.28,6,72.83,64.13,85.33,0.55,0.27,6,68.48,54.89,78.8,0.8,0.23,6,77.72,65.22,85.87,0.5,0.23,6,65.95,57.3,72.97,1.07,0.2,6,80.54,71.89,88.65,1.13,0.21,6,82.59,74.13,91.04,1.26,0.17,6,86.27,77.94,92.65,1.26,0.21,7,86.76,76.96,94.61,1.13,0.22,7,84.95,72.33,92.23,1.13,0.23,7,83.01,73.79,92.72,1.1,0.22,7,82.3,73.21,92.34,1.02,0.24,7,80.86,70.81,89.95,1.07,0.22,8,81.52,74.88,91,1.14,0.23,8,84.36,74.41,91,1.11,0.22,8,82.94,73.46,91,1.14,0.23,8,83.65,75.48,91.83,1.21,0.22,8,85.1,77.4,91.83,1.42,0.23,8,90.38,82.21,95.67,1.37,0.22,8,89.9,80.77,94.23,1.34,0.22,8,88.94,81.25,94.23,1.33,0.22,8,88.46,77.4,94.71,1.36,0.23,7,89.42,80.77,95.67,1.38,0.23,7,89.9,81.73,96.63
Kazakhstan,KAZ,-0.33,0.32,3,38.59,21.2,61.96,-0.41,0.29,5,32.61,18.48,54.35,-0.61,0.24,7,26.63,15.22,41.3,-0.69,0.22,7,25.95,14.59,41.08,-0.4,0.18,7,40.54,24.32,52.97,-0.47,0.19,8,34.33,20.9,48.26,-0.28,0.16,9,46.57,30.88,53.43,-0.34,0.18,10,42.65,26.47,53.92,-0.35,0.19,10,40.78,25.24,51.94,-0.29,0.18,11,46.12,29.61,53.4,-0.27,0.18,10,44.98,31.1,53.11,-0.28,0.18,10,42.58,31.1,53.11,-0.24,0.17,10,45.02,33.18,54.03,-0.39,0.18,11,38.39,27.49,50.24,-0.38,0.18,11,38.86,27.01,49.76,-0.24,0.19,11,46.63,31.73,53.37,-0.07,0.18,11,50.48,39.9,61.54,-0.15,0.19,10,48.08,34.13,60.58,0.17,0.2,9,61.54,46.15,70.19,0.11,0.2,9,60.1,44.23,67.79,0.12,0.2,9,61.54,45.19,66.35,0.12,0.21,8,57.69,43.27,66.35,0.09,0.21,8,56.25,43.75,66.35
Kenya,KEN,-0.31,0.31,4,39.13,22.83,61.96,-0.26,0.33,4,40.76,21.74,61.41,-0.39,0.31,4,34.78,17.39,58.15,-0.18,0.23,5,46.49,33.51,60.54,-0.33,0.19,6,44.86,26.49,55.14,-0.27,0.17,8,44.78,29.35,54.23,-0.29,0.15,9,45.59,31.86,52.45,-0.24,0.16,10,48.53,33.33,54.41,-0.32,0.16,10,42.23,28.64,51.94,-0.28,0.16,10,46.6,32.52,53.4,-0.18,0.15,10,47.85,35.89,54.55,-0.14,0.15,10,48.8,38.76,54.55,-0.24,0.15,11,44.08,33.18,53.55,-0.32,0.17,11,41.23,29.86,52.61,-0.33,0.17,11,41.71,29.86,51.66,-0.35,0.17,11,39.9,29.33,49.52,-0.35,0.16,11,41.35,28.85,49.52,-0.35,0.16,11,40.38,28.37,50.96,-0.26,0.16,11,41.83,31.25,53.85,-0.26,0.16,11,42.79,32.21,53.85,-0.33,0.16,11,39.9,30.29,49.52,-0.5,0.17,10,33.17,22.6,42.79,-0.45,0.16,10,36.54,25.96,46.15
Kyrgyz Republic,KGZ,-0.3,0.36,2,41.85,21.2,62.5,-0.19,0.33,3,43.48,22.83,64.13,-0.23,0.31,4,41.3,21.74,63.04,-0.14,0.26,5,49.73,33.51,61.62,-0.41,0.21,5,40,22.7,52.97,-0.39,0.22,6,39.3,21.89,52.74,-1.01,0.17,9,16.67,9.8,24.51,-0.66,0.19,10,25.98,17.65,41.67,-0.42,0.18,10,36.89,22.33,50.97,-0.35,0.17,10,42.72,28.64,52.43,-0.33,0.16,10,40.67,29.67,51.67,-0.26,0.16,10,43.54,33.01,53.11,-0.22,0.15,11,45.5,33.65,53.55,-0.34,0.16,11,40.76,29.38,50.24,-0.33,0.17,11,42.18,29.86,51.66,-0.45,0.18,11,34.62,25.48,48.56,-0.51,0.18,11,34.13,24.52,45.19,-0.37,0.18,10,39.9,26.92,51.92,-0.36,0.19,9,38.46,27.4,50.96,-0.35,0.2,9,37.98,26.44,50.96,-0.35,0.2,9,39.42,26.92,50.96,-0.4,0.21,9,37.98,25,49.52,-0.58,0.2,9,31.73,17.79,43.75
Cambodia,KHM,-0.23,0.32,3,46.2,23.37,63.04,-0.16,0.34,3,46.2,22.83,64.67,-0.16,0.31,3,46.2,24.46,64.67,-0.2,0.25,4,45.95,29.19,60.54,-0.42,0.21,4,38.38,21.62,52.97,-0.46,0.22,5,35.82,20.4,50.25,-0.53,0.17,8,31.37,22.55,48.04,-0.62,0.19,9,27.94,18.63,44.61,-0.49,0.19,9,33.5,21.84,50,-0.46,0.18,9,36.89,22.82,50.49,-0.5,0.17,9,33.49,23.92,45.45,-0.49,0.16,9,33.49,24.4,45.45,-0.59,0.16,10,30.33,21.8,39.81,-0.36,0.17,10,39.81,28.91,50.24,-0.35,0.17,10,40.28,28.91,51.18,-0.44,0.19,10,35.58,25.48,49.04,-0.53,0.18,10,33.65,22.6,45.19,-0.48,0.19,10,33.17,22.6,47.6,-0.5,0.19,10,32.69,20.67,44.23,-0.5,0.19,10,33.17,18.75,46.15,-0.57,0.19,10,31.25,17.31,43.27,-0.62,0.21,9,30.77,14.42,41.83,-0.64,0.2,9,27.88,13.94,41.83
Kiribati,KIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,0.32,1,45.77,20.9,62.19,-0.94,0.2,3,19.61,9.8,28.43,-1.01,0.27,3,16.67,5.88,29.9,-1.1,0.28,3,15.53,4.37,25.24,-1.17,0.23,4,11.17,3.4,21.36,-1.22,0.22,5,9.57,3.83,22.01,-1.32,0.21,5,7.18,3.35,18.66,-1.4,0.21,5,6.64,2.37,13.27,-1.33,0.23,5,8.53,2.37,19.43,-1.35,0.24,5,8.06,2.37,18.01,-0.93,0.27,5,17.31,7.21,33.17,-0.88,0.26,5,19.23,6.73,35.58,-0.85,0.28,5,20.67,7.69,38.46,-0.84,0.29,4,19.23,8.17,37.5,-0.78,0.3,4,22.6,8.65,39.9,-0.58,0.31,4,30.77,11.06,49.04,-0.52,0.34,4,32.69,11.54,54.33,-0.48,0.33,4,35.1,13.46,53.37
St. Kitts and Nevis,KNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11,0.3,2,57.71,40.8,68.66,1.32,0.21,2,89.22,77.94,99.02,1.29,0.3,2,87.75,73.04,98.04,1.05,0.35,2,82.52,66.02,94.66,1.15,0.38,1,84.47,66.02,96.6,1.15,0.41,1,83.73,65.07,99.52,1.14,0.46,1,83.25,63.64,100,1.12,0.46,1,83.41,62.09,98.58,1.08,0.5,1,81.52,59.72,99.05,1.08,0.5,1,81.99,61.14,99.05,0.53,0.51,1,69.23,41.83,89.42,0.72,0.36,2,73.56,56.73,88.46,0.72,0.36,2,75,58.65,87.5,0.55,0.35,2,71.15,53.37,82.21,0.51,0.36,2,69.71,49.04,82.21,0.5,0.36,2,68.75,49.04,82.69,0.53,0.37,2,70.19,48.56,83.65,0.55,0.36,2,71.15,50.48,83.65
"Korea, Rep.",KOR,0.45,0.28,6,65.22,53.8,76.63,0.32,0.27,6,62.5,48.37,72.28,0.57,0.23,6,68.48,58.7,79.35,0.75,0.21,7,72.43,63.24,82.7,0.72,0.18,7,71.89,64.32,78.92,0.79,0.19,7,75.12,65.67,81.09,0.81,0.16,7,72.06,65.2,79.41,0.72,0.19,8,72.06,63.73,79.9,0.92,0.2,8,77.67,67.48,86.41,0.73,0.2,8,72.82,62.62,81.55,0.85,0.19,8,75.12,68.42,84.21,0.92,0.2,8,77.99,69.38,85.17,0.98,0.19,9,79.15,73.46,86.73,0.87,0.2,9,76.78,68.25,86.26,0.99,0.2,9,79.62,72.04,88.15,1.13,0.21,9,83.17,75.96,90.87,1.11,0.2,9,82.69,75.48,91.35,1.11,0.2,9,84.13,75.48,91.35,1.1,0.2,9,82.21,75.96,89.9,1.1,0.2,9,83.17,75.48,90.38,1.07,0.2,9,82.69,74.52,89.9,1.04,0.21,8,82.21,73.08,89.9,1.1,0.21,8,83.65,73.56,89.9
Kuwait,KWT,0.31,0.31,4,64.13,46.2,74.46,-0.06,0.33,4,51.09,26.63,65.22,-0.05,0.31,4,51.63,27.72,65.22,0.33,0.25,5,63.24,53.51,71.35,0.38,0.22,4,64.32,56.22,71.89,0.56,0.23,4,68.16,60.2,78.61,0.47,0.17,6,64.22,58.33,71.08,0.29,0.2,7,59.31,53.92,69.61,0.26,0.21,7,58.74,51.46,67.96,0.17,0.21,7,57.77,50,66.02,0.15,0.2,7,56.46,48.33,65.07,0.16,0.2,7,55.98,46.89,66.51,0.08,0.2,7,54.5,42.65,63.98,-0.04,0.23,7,52.61,36.49,61.61,-0.07,0.22,7,50.71,36.02,61.61,-0.15,0.23,7,49.04,32.69,61.54,-0.18,0.22,7,47.12,32.69,59.62,-0.08,0.23,7,51.92,34.13,65.38,-0.06,0.22,7,50,34.62,64.9,0.02,0.22,7,55.29,37.98,64.9,0.06,0.22,7,59.13,41.83,66.35,0.29,0.24,6,62.5,47.6,73.08,0.17,0.24,6,58.17,44.23,71.63
Lao PDR,LAO,-1.04,0.36,2,15.22,4.89,30.43,-1.13,0.39,2,13.59,3.26,29.35,-1.34,0.37,2,9.78,2.72,21.74,-1.2,0.28,3,12.43,3.24,23.78,-1.35,0.23,3,8.11,2.16,17.84,-1.3,0.24,4,7.96,2.49,18.91,-1.34,0.18,6,7.84,2.94,15.69,-1.28,0.21,7,8.82,3.43,18.63,-1.19,0.21,7,11.17,4.37,19.9,-1.14,0.18,7,13.11,5.34,20.39,-1.07,0.17,8,13.88,6.22,23.44,-1.02,0.17,8,17.7,7.66,25.36,-0.98,0.17,8,18.48,9,26.07,-0.83,0.18,8,23.22,12.32,32.23,-0.86,0.18,9,22.75,11.37,31.28,-0.88,0.2,9,20.19,9.13,31.73,-0.83,0.2,9,23.08,11.06,34.62,-0.74,0.21,9,24.52,12.5,38.46,-0.73,0.2,9,25,12.98,35.58,-0.79,0.21,9,21.63,10.58,35.1,-0.73,0.21,9,24.52,11.54,37.5,-0.82,0.23,8,20.67,10.58,37.02,-0.89,0.22,8,18.27,9.13,32.69
Lebanon,LBN,-0.41,0.31,4,34.78,17.93,58.7,-0.5,0.33,4,29.35,15.76,54.35,-0.49,0.31,4,30.43,15.22,54.89,-0.42,0.22,6,38.92,21.62,53.51,-0.15,0.2,5,51.89,37.3,58.92,-0.1,0.2,6,51.24,38.81,61.69,-0.18,0.17,6,50.49,36.27,55.88,-0.27,0.2,7,46.08,28.92,54.41,-0.34,0.21,7,41.26,24.27,52.43,-0.34,0.21,7,44.66,26.7,53.4,-0.1,0.2,7,51.2,35.89,57.89,0.02,0.19,8,53.59,42.11,62.2,-0.12,0.18,9,50.71,35.55,55.92,-0.14,0.2,9,47.39,34.12,57.35,-0.08,0.2,9,49.76,37.44,59.72,-0.3,0.21,9,42.31,28.37,53.37,-0.35,0.2,9,42.31,28.37,51.92,-0.4,0.21,9,37.98,23.56,51.92,-0.36,0.2,9,37.98,26.92,51.44,-0.44,0.2,9,36.06,23.56,48.56,-0.51,0.2,9,33.17,17.79,45.19,-0.75,0.21,8,25,11.54,37.98,-0.88,0.22,7,18.75,9.62,33.65
Liberia,LBR,-1.83,0.37,2,2.17,0,10.87,-1.75,0.42,2,4.35,0,14.67,-1.73,0.4,2,4.89,0,14.67,-1.61,0.27,3,4.86,0.54,12.97,-1.63,0.22,3,3.24,1.08,8.65,-1.86,0.19,5,1.99,1,5.47,-1.59,0.16,5,3.92,1.47,8.33,-1.35,0.18,5,7.84,2.94,15.2,-1.11,0.19,4,14.56,6.31,21.84,-1.27,0.18,6,7.77,3.4,17.96,-1.18,0.16,8,11,6.22,20.57,-1.04,0.16,8,16.27,7.66,22.97,-1.08,0.16,9,12.8,7.58,22.27,-1.05,0.17,11,15.17,8.06,24.64,-0.92,0.17,11,20.85,9.95,28.91,-0.88,0.17,10,20.67,9.62,30.77,-0.88,0.16,11,19.71,11.06,28.85,-0.97,0.16,10,15.87,8.17,26.44,-0.97,0.16,10,15.87,9.13,26.92,-0.98,0.16,10,14.42,8.65,25.48,-0.99,0.16,9,12.98,8.65,24.04,-1.02,0.17,9,12.98,9.13,25.48,-0.95,0.16,9,15.38,9.62,26.92
Libya,LBY,-1.74,0.31,4,3.8,0.54,10.87,-1.89,0.33,4,3.26,0,9.24,-1.77,0.31,4,4.35,0,10.33,-1.62,0.23,5,4.32,0.54,9.73,-1.51,0.2,5,3.78,1.62,11.35,-1.36,0.21,5,7.46,2.49,15.92,-1.49,0.17,5,5.88,1.96,10.78,-1.46,0.21,5,5.88,2.45,13.24,-1.11,0.22,6,15.05,4.85,22.33,-1.09,0.22,6,16.02,4.37,23.3,-1.19,0.2,7,10.53,4.78,22.01,-1.3,0.2,7,7.66,3.35,18.66,-1.43,0.21,6,6.16,2.37,12.32,-1.62,0.23,7,2.84,1.42,9,-1.75,0.22,7,2.37,1.42,6.64,-2.1,0.23,7,0.96,0,3.37,-2.22,0.23,6,0.48,0,2.4,-2.2,0.25,5,0.48,0,2.88,-2.12,0.23,6,1.44,0,3.37,-2.19,0.23,6,0.96,0,2.88,-2.28,0.22,6,0.96,0,2.88,-2.2,0.25,5,0.96,0,3.85,-1.95,0.26,4,2.88,0,4.81
St. Lucia,LCA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,0.3,2,59.2,43.28,69.65,1.26,0.2,3,86.76,76.96,93.63,1.13,0.27,3,84.31,71.08,93.63,0.77,0.29,3,73.3,60.19,86.41,0.43,0.25,3,65.05,53.4,75.24,0.5,0.26,3,66.51,54.55,77.51,0.35,0.25,3,63.64,51.67,75.12,0.44,0.26,3,64.45,53.55,76.3,0.31,0.26,4,61.14,48.82,73.46,0.29,0.27,4,62.09,46.92,72.99,0.27,0.27,4,62.02,48.08,73.08,0.32,0.24,5,64.9,50.96,73.08,0.28,0.25,5,65.38,49.04,72.12,0.34,0.26,4,66.35,49.52,75.96,0.33,0.26,4,64.42,48.56,75.48,0.29,0.27,4,64.42,47.12,74.04,0.38,0.29,4,64.9,48.56,75.48,0.37,0.28,4,64.9,48.08,75.48
Liechtenstein,LIE,1.51,0.39,1,92.39,76.63,99.46,1.48,0.44,1,93.48,72.28,100,1.46,0.42,1,91.85,76.09,100,1.66,0.37,1,95.14,81.08,100,1.66,0.28,1,96.22,85.41,100,1.56,0.32,1,92.04,79.1,100,1.61,0.21,1,96.08,85.78,100,1.35,0.31,1,91.18,73.53,99.51,1.38,0.37,1,90.78,73.79,99.51,1.4,0.38,1,91.26,73.79,100,1.51,0.33,2,93.3,78.47,100,1.53,0.35,2,93.3,78.95,100,1.5,0.36,2,92.42,77.25,100,1.55,0.3,3,93.36,80.57,100,1.57,0.29,3,93.36,81.99,100,1.42,0.3,3,90.38,79.33,98.56,1.39,0.29,3,90.87,77.4,98.56,1.37,0.32,3,89.42,76.44,97.12,1.49,0.31,3,91.35,80.29,98.08,1.53,0.32,3,90.87,81.25,99.04,1.54,0.32,3,91.83,80.77,99.52,1.63,0.33,3,94.71,83.17,99.52,1.54,0.38,2,92.31,77.88,99.52
Sri Lanka,LKA,0.06,0.31,4,58.15,30.43,69.02,0.16,0.33,4,58.15,34.78,70.65,0.16,0.26,5,58.7,39.67,69.02,0.12,0.22,6,57.84,44.86,65.41,0.03,0.19,6,56.76,48.11,63.24,-0.08,0.2,7,52.24,38.81,61.69,-0.42,0.16,9,39.71,25,50.49,-0.27,0.19,10,46.57,29.9,54.41,-0.3,0.19,10,44.66,27.18,52.43,-0.39,0.17,10,39.81,27.67,51.94,-0.29,0.16,10,44.02,31.1,52.15,-0.25,0.16,10,44.5,33.01,53.11,-0.13,0.16,10,50.24,36.97,55.92,-0.13,0.17,11,48.82,36.97,55.92,-0.17,0.17,11,46.45,35.55,54.98,-0.11,0.19,11,49.52,36.54,60.1,-0.05,0.18,11,51.92,42.79,62.02,-0.1,0.21,10,50.48,35.1,62.98,-0.15,0.2,10,47.12,33.65,61.54,-0.2,0.2,9,45.67,32.21,61.06,-0.22,0.2,9,43.75,32.21,60.1,-0.21,0.21,8,43.75,30.77,58.17,-0.37,0.22,7,39.42,25.48,50.96
Lesotho,LSO,-0.29,0.36,2,43.48,21.2,63.04,-0.3,0.39,2,38.04,16.85,64.13,-0.16,0.37,2,45.11,21.74,65.22,-0.46,0.34,2,37.3,16.22,57.3,-0.57,0.26,2,32.97,17.84,51.89,-0.59,0.23,4,28.86,17.41,47.26,-0.63,0.17,5,26.96,20.59,43.14,-0.67,0.18,7,25.49,17.65,40.69,-0.72,0.17,8,23.3,16.5,35.92,-0.67,0.16,8,27.67,17.96,38.83,-0.65,0.17,8,27.75,20.1,38.28,-0.63,0.16,8,28.71,19.14,39.23,-0.64,0.16,8,28.91,20.85,38.39,-0.54,0.19,8,31.75,22.27,45.02,-0.38,0.19,8,38.39,26.54,51.18,-0.44,0.19,8,35.1,25.48,49.04,-0.44,0.18,8,36.06,26.44,48.08,-0.45,0.18,8,34.62,23.56,47.6,-0.37,0.19,7,37.5,27.88,50.48,-0.54,0.18,7,31.25,18.75,44.23,-0.59,0.18,7,30.29,17.31,41.83,-0.65,0.19,7,29.33,14.42,39.42,-0.74,0.18,8,25.48,13.46,36.54
